Mark,WIND,Competitor,Nat,Venue,Date,Speed
10.096041666666666,-0.9,Elijah HALL-THOMPSON,USA,"Eugene, OR (USA)",2018-06-06,35.657539052021214
10.096458333333333,0.2,Derick SILVA,BRA,Guadalajara (ESP),2018-07-06,35.65606751542414
10.096874999999999,1.0,Kael BECERRA,CHI,Santiago de Chile (CHI),2008-03-20,35.65459610027856
10.097291666666665,1.6,Anaso JOBODWANA,RSA,"Greensboro, NC (USA)",2013-05-24,35.65312480656942
10.097708333333332,1.8,Ademola AKOMOLAFE,NGR,Kaduna (NGR),2014-10-31,35.651653634281715
10.098125,-0.7,CÃ©sar Yunier RUÃZ,CUB,La Habana (CUB),2013-03-16,35.65018258340039
10.098541666666666,0.8,Yannick LESOURD,FRA,Rennes (FRA),2008-06-11,35.64871165391043
10.098958333333332,-0.3,Franklin NAZARENO,ECU,Cuenca (ECU),2013-05-15,35.64724084579681
10.099374999999998,0.9,Serhiy SMELYK,UKR,Erzurum (TUR),2016-06-12,35.6457701590445
10.099791666666665,1.4,Rasheed DWYER,JAM,Kingston (JAM),2016-04-16,35.644299593638486
10.100208333333333,0.6,Le Roux VAN TONDER,RSA,Roodepoort (RSA),2009-01-10,35.64282914956375
10.100624999999999,1.9,Andrew ROBERTSON,GBR,Bedford (GBR),2014-08-23,35.64135882680527
10.101041666666665,-2.1,Yoan MEDINA,CUB,La Habana (CUB),2017-03-14,35.63988862534805
10.101458333333332,1.2,Olusoji Adetokunbo FASUBA,NGR,Addis Abeba (ETH),2008-05-01,35.63841854517707
10.101875,1.5,Ramone MCKENZIE,JAM,"Clermont, FL (USA)",2012-05-19,35.636948586277306
10.102291666666666,0.6,Yasir Baalghytten AL NASHIRI,KSA,Damascus (SYR),2009-10-07,35.63547874863377
10.102708333333332,1.4,Ronald POGNON,FRA,Rieti (ITA),2008-09-07,35.63400903223146
10.103124999999999,1.0,Carlos MOORE,USA,"Provo, UT (USA)",2008-05-24,35.63253943705537
10.103541666666665,0.0,Rodrigo DO NASCIMENTO,BRA,SÃ£o Paulo (BRA),2019-08-18,35.6310699630905
10.103958333333333,0.7,Shavez HART,BAH,"Waco, TX (USA)",2015-04-18,35.629600610321866
10.104375,0.3,Ahmad RASHAD,USA,"Fayetteville, AR (USA)",2009-06-12,35.628131378734466
10.104791666666666,1.6,Alexandre DIVET,FRA,Cognac (FRA),2016-05-01,35.626662268313304
10.105227272727271,1.7,Seye OGUNLEWE,NGR,Rehlingen (GER),2019-06-09,35.62512650968222
10.105681818181816,0.5,Matthew BOLING,USA,San JosÃ© (CRC),2019-07-19,35.623524120094466
10.106136363636363,1.8,Keitavious WALTER,USA,"Fayetteville, AR (USA)",2019-05-11,35.62192187464862
10.106590909090908,0.4,Mosito LEHATA,LES,"Stadion Juliska, Praha (CZE)",2017-06-05,35.62031977332524
10.107045454545453,2.0,Adrian GRIFFITH,BAH,"Montverde, FL (USA)",2016-06-11,35.61871781610488
10.107499999999998,1.5,Cordero GRAY,USA,"Clermont, FL (USA)",2012-05-19,35.6171160029681
10.107954545454545,1.3,Prezel HARDY,USA,"Des Moines, IA (USA)",2012-06-06,35.61551433389545
10.10840909090909,1.9,Diego Armando RODRIGUEZ MURILLO,COL,AsunciÃ³n (PAR),2017-06-23,35.61391280886751
10.108863636363635,1.2,Leshon COLLINS,USA,"Philadelphia, PA (USA)",2017-04-29,35.61231142786484
10.10931818181818,1.4,Mardy SCALES,USA,"Modesto, CA (USA)",2008-05-10,35.61071019086802
10.109772727272725,0.2,Chun-Han YANG,TPE,Hiratsuka (JPN),2018-06-15,35.60910909785762
10.110227272727272,1.7,Oshane BAILEY,JAM,"Hollywood, FL (USA)",2010-07-09,35.607508148814205
10.110681818181817,0.5,Ainsley WAUGH,JAM,Lappeenranta (FIN),2011-08-13,35.60590734371839
10.111136363636362,0.8,Jacques RIPARELLI,ITA,La Chaux-de-Fonds (SUI),2015-07-05,35.60430668255075
10.111590909090907,1.5,Maurice EADDY,USA,"Greensboro, NC (USA)",2015-05-17,35.60270616529186
10.112045454545454,2.0,Silvan WICKI,SUI,"Stade Bouleyres, Bulle (SUI)",2020-07-11,35.60110579192233
10.112499999999999,0.1,Felipe BARDI DOS SANTOS,BRA,"COTP Stadium, SÃ£o Paulo (BRA)",2020-12-11,35.59950556242275
10.112954545454544,0.1,Kenroy ANDERSON,JAM,Kingston (JAM),2018-06-21,35.59790547677372
10.113409090909089,1.1,Christopher TAYLOR,JAM,Kingston (JAM),2018-06-30,35.596305534955846
10.113863636363636,0.5,Marlon DEVONISH,GBR,"Coral Gables, FL (USA)",2009-04-11,35.594705736949734
10.11431818181818,1.3,Sandro Ricardo RODRIGUES VIANA,BRA,BogotÃ¡ (COL),2009-07-24,35.593106082736
10.114772727272726,-0.1,Marvin ANDERSON,JAM,Kingston (JAM),2008-06-28,35.59150657229525
10.115166666666665,0.4,Adam HARRIS,GUY,Port-of-Spain (TTO),2014-05-17,35.59012044619466
10.115499999999999,0.8,Dontae RICHARDS-KWOK,CAN,Weinheim (GER),2013-08-02,35.5889476545895
10.115833333333331,1.4,Kimmari ROACH,JAM,"Blankers-Koen Stadion, Hengelo (NED)",2014-06-08,35.58777494027515
10.116166666666665,-0.3,Micah LARKINS,USA,"San Antonio, TX (USA)",2018-05-06,35.58660230324399
10.116499999999998,1.8,Jaron FLOURNOY,USA,"Fayetteville, AR (USA)",2019-05-11,35.58542974348837
10.116833333333332,1.9,Aziz ZAKARI,GHA,"Nyayo National Stadium, Nairobi (KEN)",2010-07-29,35.58425726100065
10.117166666666666,1.5,Jack HALE,AUS,"WA Sports Centre, Perth (AUS)",2020-02-01,35.583084855773194
10.117499999999998,1.6,Tony BROWN,USA,"Eugene, OR (USA)",2017-06-07,35.58191252779838
10.117833333333332,1.0,Gil ROBERTS,USA,"Lubbock, TX (USA)",2014-05-03,35.58074027706855
10.118166666666665,1.2,Brijesh LAWRENCE,SKN,"Crete, NE (USA)",2012-04-21,35.57956810357608
10.1185,1.9,Stuart DUTAMBY,FRA,Angers (FRA),2016-06-25,35.57839600731334
10.118833333333331,0.4,Jalen MILLER,USA,"Starkville, MS (USA)",2015-05-16,35.5772239882727
10.119166666666665,0.0,Marcus BRUNSON,USA,"Tucson, AZ (USA)",2009-03-21,35.57605204644652
10.119499999999999,1.6,Chadic HINDS,JAM,Kingston (JAM),2016-06-11,35.57488018182717
10.119833333333332,0.7,Enoch ADEGOKE,NGR,Lagos (NGR),2019-06-15,35.57370839440703
10.120166666666664,1.0,Ryuichiro SAKAI,JPN,Hiratsuka (JPN),2019-06-08,35.572536684178466
10.120499999999998,1.7,Mouhamadou FALL,FRA,St-Etienne (FRA),2019-07-26,35.571365051133846
10.120833333333332,1.3,Maxwell WILLIS,USA,"Waco, TX (USA)",2018-05-12,35.57019349526555
10.121166666666666,0.4,Reza GHASEMI,IRI,Almaty (KAZ),2015-07-25,35.569022016565945
10.1215,0.1,Taymir BURNET,NED,La Chaux-de-Fonds (SUI),2019-06-30,35.56785061502742
10.121833333333331,1.9,Chris JEFFERSON,USA,"Drake Stadium, Des Moines, IA (USA)",2018-06-21,35.56667929064235
10.122166666666665,1.8,Julius MORRIS,MNT,"Houston, TX (USA)",2018-05-12,35.5655080434031
10.122499999999999,0.7,Zhouzheng XU,CHN,La Chaux-de-Fonds (SUI),2019-06-30,35.564336873302054
10.122833333333332,0.9,Damian WARNER,CAN,"MÃ¶sle-Stadium, GÃ¶tzis (AUT)",2019-05-25,35.5631657803316
10.123166666666664,0.8,Damarcus SIMPSON,USA,"Eugene, OR (USA)",2017-06-07,35.56199476448411
10.123499999999998,1.1,Tlotliso Gift LEOTLELA,RSA,Pretoria (RSA),2017-03-18,35.560823825751974
10.123833333333332,1.9,Rubin WILLIAMS,USA,"Fayetteville, AR (USA)",2008-05-31,35.55965296412756
10.124166666666666,1.6,Christopher HARGRETT,USA,"Eugene, OR (USA)",2008-06-28,35.55848217960326
10.124499999999998,1.6,Kendall STEVENS,USA,"Eugene, OR (USA)",2008-06-28,35.55731147217148
10.124833333333331,1.4,Aaron ERNEST,USA,"Eugene, OR (USA)",2015-06-10,35.556140841824565
10.125333333333334,1.0,Carlos NASCIMENTO,POR,Braga (POR),2018-06-20,35.5543850408217
10.126,1.5,Taffawee JOHNSON,JAM,"Greensboro, NC (USA)",2015-05-17,35.55204424254395
10.126666666666667,1.9,Sven KNIPPHALS,GER,Regensburg (GER),2015-06-06,35.54970375246873
10.127333333333333,1.4,Dedric DUKES,USA,"Clermont, FL (USA)",2016-05-14,35.54736357053518
10.128,1.8,Justin MURDOCK,USA,"Clemson, SC (USA)",2011-05-13,35.54502369668246
10.128666666666666,1.8,Amr Ibrahim Mostafa SEOUD,EGY,Maputo (MOZ),2011-09-12,35.542684130849736
10.129333333333333,1.1,JÃ¡n VOLKO,SVK,"x-bionic sphere, Å amorÃ­n (SVK)",2018-06-29,35.54034487297617
10.13,0.1,Keith RICKS,USA,Beijing (CHN),2013-05-21,35.53800592300099
10.130666666666666,1.6,Aldemir JUNIOR,BRA,"CNDA, BraganÃ§a Paulista (BRA)",2019-08-29,35.535667280863386
10.131333333333334,0.8,Andrew HUDSON,USA,"Waco, TX (USA)",2019-04-20,35.53332894650259
10.132,1.4,Oblique SEVILLE,JAM,Kingston (JAM),2019-03-29,35.53099091985788
10.132666666666667,1.9,Shota HARA,JPN,Tottori (JPN),2017-06-04,35.528653200868476
10.133333333333333,-0.1,Fabio CERUTTI,ITA,Cagliari (ITA),2008-07-19,35.526315789473685
10.134,1.6,Jurgen THEMEN,SUR,"Bradenton, FL (USA)",2016-05-28,35.52397868561279
10.134666666666666,1.5,Solomon BOCKARIE,NED,"Olympisch Stadion, Amsterdam (NED)",2016-07-07,35.52164188922511
10.135277777777777,1.2,Tobias UNGER,GER,Mannheim (GER),2010-07-03,35.519500095924585
10.135833333333332,1.9,Yenns R. FERNÃNDEZ,CUB,La Habana (CUB),2019-06-07,35.51755323522158
