Mark,WIND,Competitor,Nat,Venue,Date,Speed
11.653269230769231,0.6,Helen EMEDOLU,NGR,Abuja (NGR),2008-06-23,30.892618446457746
11.653397435897435,-2.6,Olga ZAYTSEVA,RUS,Tallinn (EST),2008-06-03,30.892278580583408
11.65352564102564,0.7,Keosha SANDERS,USA,"Orem, UT (USA)",2019-05-11,30.891938722187085
11.653653846153846,1.1,Svenja PFETSCH,GER,Mannheim (GER),2019-06-29,30.891598871268503
11.65378205128205,0.7,Ombretta MINKUE-MEYE,FRA,"Azusa, CA (USA)",2019-04-27,30.89125902782744
11.653910256410256,-0.4,Bernice WILSON,GBR,Gateshead (GBR),2010-07-17,30.89091919186363
11.65403846153846,0.0,Andreou PARASKEVI,CYP,"Olympic Stadium, Nanjing (CHN)",2014-08-21,30.890579363376848
11.654166666666667,1.8,Carina FREY,GER,Bulle (SUI),2014-07-12,30.89023954236682
11.654294871794871,1.3,Tiffany TSHILUMBA,LUX,Tbilisi (GEO),2014-06-21,30.889899728833324
11.654423076923077,1.6,Kimberly WILLIAMS,JAM,"Gainesville, FL (USA)",2019-04-27,30.889559922776098
11.654551282051282,0.8,Sakiho KAGEYAMA,JPN,Chiba (JPN),2019-04-21,30.889220124194907
11.654679487179486,0.3,Crystal JOHNSON,USA,"Baltimore, MD (USA)",2019-04-20,30.8888803330895
11.654807692307692,0.7,Chanel BRISSETT,USA,"Tucson, AZ (USA)",2019-04-06,30.88854054945962
11.654935897435896,1.7,Anna HOLZMANN,GER,"Sportanlage an der KanalstraÃŸe, Zeven (GER)",2020-07-25,30.88820077330503
11.655068493150685,1.5,Martina STYCHOVÃ,CZE,Pardubice (CZE),2016-06-28,30.887849368844176
11.655205479452054,1.1,Devinn ROLLAND,USA,"New Orleans, LA (USA)",2014-04-12,30.88748633687106
11.655342465753424,0.4,Natasha GAY,USA,"Albuquerque, NM (USA)",2016-04-02,30.88712331343143
11.655479452054793,0.1,Edita LINGYTÄ–-KAVALIAUSKIENÄ–,LTU,Lugano (SUI),2008-07-04,30.886760298525008
11.655616438356164,1.7,Ichiko IKI,JPN,Wakayama (JPN),2015-10-02,30.88639729215147
11.655753424657533,-0.2,Gabriela SANTOS,MEX,Xalapa (MEX),2014-08-29,30.886034294310534
11.655890410958904,0.1,Martina SCHMIDOVÃ,CZE,Andorf (AUT),2014-08-09,30.885671305001882
11.656027397260273,0.9,Samantha GEDDES,AUS,Brisbane (AUS),2015-03-28,30.885308324225228
11.656164383561643,1.7,Iyoba EDOBA,JPN,Wakayama (JPN),2015-10-02,30.884945351980257
11.656301369863012,1.8,Solenn COMPPER,FRA,Forbach (FRA),2014-05-25,30.884582388266683
11.656438356164383,1.7,Breehana JACOBS,USA,"Greensboro, NC (USA)",2010-04-17,30.884219433084198
11.656575342465754,2.0,Marcquita STALBERT,USA,"New Orleans, LA (USA)",2013-03-23,30.883856486432492
11.656712328767123,0.7,PavlÃ­na VOSTATKOVÃ,CZE,TÃ¡bor (CZE),2008-07-04,30.88349354831128
11.656849315068493,0.3,Asia STINSON,USA,"Philadelphia, PA (USA)",2014-04-25,30.88313061872025
11.656986301369862,0.5,Fanny RUNHEIM,SWE,Tampere (FIN),2018-08-31,30.88276769765912
11.657123287671233,1.1,Jayla SCHOLIS,USA,"Walnut, CA (USA)",2014-05-17,30.882404785127562
11.657260273972602,1.8,Alyssa GRIDIRON,USA,"Dallas, TX (USA)",2016-03-18,30.882041881125293
11.657397260273973,-0.3,Kelsey HERMAN,USA,"Fayetteville, AR (USA)",2016-05-06,30.881678985652005
11.657534246575342,1.9,Angielee JACKSON,JAM,Montego Bay (JAM),2015-02-14,30.881316098707405
11.657671232876712,1.2,Kira BIESENBACH,GER,KÃ¶ln (GER),2013-05-09,30.880953220291186
11.657808219178081,1.6,MacKenzie HILL,USA,"Los Angeles, CA (USA)",2014-03-08,30.88059035040305
11.657945205479452,1.2,Morgan BREAUX,USA,"San Marcos, TX (USA)",2013-04-27,30.88022748904269
11.65808219178082,1.1,Omoye UGIABE,CAN,"Joplin, MO (USA)",2013-04-27,30.87986463620982
11.658219178082192,1.9,Jessica FISHER,USA,"Houston, TX (USA)",2008-05-11,30.879501791904122
11.65835616438356,0.8,Arteria STERNS,USA,"Houston, TX (USA)",2008-05-10,30.879138956125303
11.658493150684931,0.8,Silvia CORBUCCI,ITA,Rieti (ITA),2013-06-14,30.878776128873067
11.6586301369863,0.0,Ebony MORRISON,USA,St. George's (GRN),2018-04-21,30.87841331014711
11.65876712328767,-1.4,Nicole MARCUS,USA,"Tallahassee, FL (USA)",2008-05-10,30.87805049994713
11.65890410958904,-0.3,Stephanie SIMPSON,JAM,"Levelland, TX (USA)",2008-05-16,30.877687698272826
11.65904109589041,1.3,Melicha SMITH,USA,"Austin, TX (USA)",2015-05-15,30.877324905123903
11.65917808219178,1.8,Beatriz DE OLIVEIRA DE SOUSA,BRA,Sao Bernardo do Campo (BRA),2015-05-14,30.87696212050005
11.65931506849315,-0.1,Lorenda HOLSTON,USA,"Laramie, WY (USA)",2015-05-01,30.876599344400976
11.659452054794519,1.2,Lorena DE ARAÃšJO SILVA LORUENCO,BRA,SÃ£o Paulo (BRA),2014-03-08,30.87623657682638
11.65958904109589,0.5,Olga ORTINA,RUS,Chelyabinsk (RUS),2008-06-27,30.87587381777595
11.65972602739726,1.1,Deanna GOODWIN,USA,"Walnut, CA (USA)",2008-06-15,30.8755110672494
11.65986301369863,1.5,Rita DE CESARIS,ITA,Rieti (ITA),2008-06-10,30.87514832524643
11.66,1.3,Rosie ELLIOTT,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",2020-03-06,30.874785591766724
11.660136986301369,-2.6,Laeticia BAPTE,FRA,"Stade L. Achille, Fort-de-France (FRA)",2020-08-22,30.874422866809997
11.66027397260274,1.9,Ruby BLACKWELL,USA,"Greensboro, NC (USA)",2011-05-15,30.874060150375943
11.660410958904109,2.0,Samantha DIRKS,BIZ,"National Training Center, Clermont, FL (USA)",2020-07-24,30.873697442464255
11.66054794520548,0.0,Sada WILLIAMS,BAR,St. Michael (BAR),2017-02-25,30.873334743074643
11.660684931506848,0.0,Damu CHERRY-MITCHELL,USA,"Coral Gables, FL (USA)",2009-04-11,30.87297205220681
11.660821917808219,1.5,Melissa HEWITT,JAM,"Princeton, NJ (USA)",2010-05-08,30.872609369860438
11.660958904109588,1.3,Barbara PETRÃHN,HUN,Budapest (HUN),2010-05-22,30.872246696035248
11.661095890410959,1.6,Ina HUEMER,AUT,"Bundessport- und Freizeitzentrum, Maria Enzersdorf (AUT)",2020-08-15,30.871884030730918
11.661232876712328,0.2,Elke VEREECKEN,BEL,Nivelles (BEL),2010-06-26,30.871521373947164
11.661369863013698,0.9,Kerrica HILL,JAM,"GC Foster College, Spanish Town (JAM)",2020-02-19,30.871158725683678
11.661506849315067,1.8,Morgan GAFFNEY,AUS,"AIS Athletics Track, Canberra (AUS)",2020-01-25,30.870796085940164
11.661643835616438,1.6,Cassie-Ann PEMBERTON,GBR,Mannheim (GER),2019-06-29,30.870433454716316
11.661780821917807,-0.1,Tameran DEFREITAS,CAN,Toronto (CAN),2019-07-13,30.870070832011844
11.661917808219178,1.7,Fatmata KOROMA,SLE,Angers (FRA),2019-07-05,30.86970821782643
11.662054794520547,-0.3,Anastasiya ZHOLOBOVA,RUS,Kaluga (RUS),2019-06-14,30.8693456121598
11.662191780821917,1.4,Ida KARSTOFT,DEN,CastellÃ³n (ESP),2019-05-25,30.86898301501163
11.662328767123286,0.0,Ansley LONG,USA,"Kennesaw, GA (USA)",2019-04-27,30.868620426381636
11.662465753424657,1.9,Taryn SMILEY,CAN,"Columbia, MO (USA)",2019-04-20,30.868257846269497
11.662602739726026,0.6,Tiana WILSON,USA,"College Station, TX (USA)",2019-04-06,30.86789527467494
11.662739726027397,1.0,Mia POLLARD,USA,"Austin, TX (USA)",2012-05-12,30.867532711597644
11.662876712328767,0.9,Alicia WRENCH-DOODY,AUS,Brisbane (AUS),2009-02-21,30.867170157037318
11.663013698630136,1.2,Amrit KAUR,IND,Moodbidri (IND),2020-01-02,30.86680761099366
11.663150684931507,2.0,Judith GOLL,SUI,Rapperswil-Jona (SUI),2017-06-18,30.866445073466366
11.663287671232876,0.8,Maria KARASTAMATI,GRE,Patra (GRE),2010-06-30,30.866082544455146
11.663424657534247,1.7,Osheen ERSKINE,JAM,"Golden, CO (USA)",2018-04-27,30.865720023959692
11.663561643835616,-0.7,Lucie Å KROBÃKOVÃ,CZE,TÃ¡bor (CZE),2012-09-08,30.865357511979706
11.663698630136986,1.2,Amandine BROSSIER,FRA,Montgeron (FRA),2017-05-14,30.86499500851489
11.663835616438355,1.5,Adrian MARTIN,USA,"Rome, GA (USA)",2017-04-22,30.86463251356494
11.663972602739726,0.9,Ana TORRIJOS,ESP,CÃ³rdoba (ESP),2009-07-04,30.864270027129557
11.664109589041095,1.5,Julia SUTSCHET,GER,GÃ¶ttingen (GER),2009-06-27,30.863907549208445
11.664246575342466,1.6,Gwendolyn FLOWERS,USA,"Fayetteville, AR (USA)",2012-04-21,30.863545079801288
11.664383561643834,1.6,Teneshia PEART,CAN,"Hutchinson, KS (USA)",2009-05-22,30.86318261890781
11.664520547945205,0.7,Argyanna BOLTON,JAM,"Gulf Shores, AL (USA)",2018-05-25,30.8628201665277
11.664657534246574,1.9,Patricia URQUÃA,ESP,"Ratina Stadium, Tampere (FIN)",2018-07-11,30.86245772266066
11.664794520547945,0.5,Da-seul KANG,KOR,Heongseong (KOR),2018-07-24,30.86209528730638
11.664931506849314,0.7,Fengyan SUN,CHN,Zhengzhou (CHN),2017-04-11,30.861732860464578
11.665072463768116,2.0,Jessica Ã–STLUND,SWE,Sollentuna (SWE),2016-08-26,30.861359937382748
11.665217391304347,0.3,Florence UWAKWE,NGR,"Murfreesboro, TN (USA)",2016-05-14,30.860976518822216
11.665362318840579,1.8,Cecily EDWARDS,USA,"Dallas, TX (USA)",2016-03-18,30.860593109788677
11.66550724637681,1.6,Nicole HENDERSON,USA,"Los Angeles, CA (USA)",2018-03-24,30.86020971028177
11.665652173913042,0.9,Katara NELSON,USA,"Azusa, CA (USA)",2018-04-20,30.85982632030115
11.665797101449275,1.1,Kiana DAVIS,USA,"Cullowhee, NC (USA)",2018-05-11,30.859442939846453
11.665942028985507,2.0,Eleni FROMMANN,GER,"San Marcos, TX (USA)",2018-05-13,30.859059568917324
11.666086956521738,0.0,Georgina ADAM,GBR,GenÃ¨ve (SUI),2018-06-09,30.858676207513415
11.66623188405797,1.8,Kathrin WALLMANN,GER,Heilbronn (GER),2018-06-30,30.858292855634375
11.666376811594201,1.9,Miyuki SUGIYAMA,JPN,Fukui (JPN),2017-09-08,30.85790951327984
11.666521739130435,-0.3,Helena JIRANOVÃ,CZE,Andorf (AUT),2017-07-29,30.85752618044945
11.666666666666666,1.8,Lara HÃœMKE,GER,Mannheim (GER),2017-07-01,30.857142857142858
11.666811594202898,1.8,Abbie TADDEO,AUS,"SOPAC, Sydney (AUS)",2020-03-07,30.85675954335971
11.66695652173913,1.4,Ioana Teodora GHEORGHE,ROU,BucureÅŸti (ROU),2018-06-16,30.856376239099653
11.66710144927536,1.6,L'Tisha FAHIE,IVB,St. George's (GRN),2017-06-04,30.855992944362328
11.667246376811594,1.4,Cheriece HYLTON,GBR,Newham (GBR),2017-05-07,30.855609659147376
11.667391304347825,0.7,Anabel MEDINA VENTURA,DOM,MedellÃ­n (COL),2017-04-29,30.855226383454447
11.667536231884057,1.6,LaSarah HARGROVE,USA,"Clearwater, FL (USA)",2017-04-28,30.854843117283185
11.667681159420288,2.0,Lauryn HALL,USA,"Mobile, AL (USA)",2017-04-01,30.85445986063324
11.66782608695652,1.5,Tracey SCHULZ,GER,Wetzlar (GER),2015-06-13,30.854076613504255
11.667971014492753,1.8,Ayane USUI,JPN,Nagoya (JPN),2018-10-20,30.853693375895865
11.668115942028985,2.0,Mona LANDRY,USA,"Waco, TX (USA)",2015-04-03,30.85331014780773
11.668260869565216,1.7,Tenaya JONES,USA,"Fort Worth, TX (USA)",2015-05-02,30.852926929239484
11.668405797101448,-0.4,Ashley CUNNINGHAM,USA,"Philadelphia, PA (USA)",2015-05-09,30.852543720190788
11.668550724637681,0.0,Marleny MEJÃA,DOM,Santo Domingo (DOM),2016-03-19,30.852160520661258
11.668695652173913,1.4,Hilal DURMAZ,TUR,"Aquatic and Recreation Centre, Mackay (AUS)",2020-10-03,30.851777330650574
11.668840579710144,1.9,Kazuha SUZUKI,JPN,Ise (JPN),2018-08-03,30.85139415015836
11.668985507246376,1.1,Chanice PORTER,JAM,"Athens, GA (USA)",2019-04-06,30.851010979184267
11.669130434782607,1.8,Janie O'CONNOR,USA,"Des Moines, IA (USA)",2019-04-26,30.850627817727936
11.66927536231884,1.3,Kajsa JOHANSSON,USA,"Hillsdale, MI (USA)",2019-05-04,30.85024466578902
11.669420289855072,1.3,Kelisa CAIN,USA,"Princeton, NJ (USA)",2019-05-04,30.84986152336716
11.669565217391304,1.7,Katina MARTIN,USA,"Princeton, NJ (USA)",2019-05-04,30.849478390462
